owner,name,stars,created_at,updated_at,language,merged_prs,releases,issues_total,issues_closed
yarnpkg,yarn,41532,2016-01-19T17:39:16Z,2026-03-05T16:04:36Z,JavaScript,1655,153,6615,4740
Aider-AI,aider,41525,2023-05-09T18:57:49Z,2026-03-05T23:07:01Z,Python,284,93,3975,2807
dcloudio,uni-app,41442,2018-07-12T08:52:39Z,2026-03-05T13:18:07Z,JavaScript,555,0,5054,4387
usebruno,bruno,41425,2022-09-27T20:51:45Z,2026-03-05T23:43:41Z,JavaScript,2057,160,3898,2431
psf,black,41416,2018-03-14T19:54:45Z,2026-03-05T23:32:55Z,Python,1726,51,2777,2483
dylanaraps,pure-bash-bible,41401,2018-06-13T01:39:33Z,2026-03-05T22:53:52Z,Shell,28,0,77,33
logseq,logseq,41379,2020-05-23T00:06:06Z,2026-03-05T22:33:14Z,Clojure,3133,152,8098,7135
hpcaitech,ColossalAI,41363,2021-10-28T16:19:44Z,2026-03-05T19:22:25Z,Python,3705,50,1741,1299
hexojs,hexo,41278,2012-09-23T15:17:08Z,2026-03-05T09:41:41Z,TypeScript,975,117,3993,3918
zai-org,ChatGLM-6B,41226,2023-03-13T12:00:18Z,2026-03-05T13:34:43Z,Python,49,0,1312,751
ccxt,ccxt,41201,2017-05-14T15:41:56Z,2026-03-05T23:22:23Z,Python,14188,215,11302,10502
bailicangdu,vue2-elm,41166,2016-12-23T01:49:20Z,2026-03-04T02:33:31Z,Vue,21,0,631,512
fastlane,fastlane,41126,2014-12-02T17:00:38Z,2026-03-05T19:12:34Z,Ruby,6343,560,13260,12592
ComposioHQ,awesome-claude-skills,41097,2025-10-17T07:15:01Z,2026-03-05T23:47:37Z,Python,20,0,56,3
karanpratapsingh,system-design,41092,2022-08-15T18:59:54Z,2026-03-05T21:22:53Z,,12,0,23,21
curl,curl,41063,2010-03-18T22:32:22Z,2026-03-05T23:47:44Z,C,203,94,5378,5365
juspay,hyperswitch,41055,2022-10-17T11:18:28Z,2026-03-05T17:44:04Z,Rust,6524,152,3467,2509
chubin,cheat.sh,41053,2017-05-07T21:40:56Z,2026-03-05T23:13:01Z,Python,129,0,265,135
styled-components,styled-components,41027,2016-08-16T06:41:32Z,2026-03-05T13:59:48Z,TypeScript,995,189,2985,2676
payloadcms,payload,41008,2021-01-05T18:49:45Z,2026-03-05T23:11:16Z,TypeScript,6752,559,4381,4108
vuetifyjs,vuetify,40975,2016-09-12T00:39:35Z,2026-03-05T19:17:44Z,TypeScript,4661,641,15277,14796
janhq,jan,40858,2023-08-17T02:17:10Z,2026-03-05T23:42:17Z,TypeScript,3420,97,3313,3074
CherryHQ,cherry-studio,40819,2024-05-24T01:56:26Z,2026-03-05T22:53:54Z,TypeScript,3020,246,8647,8165
tabler,tabler,40819,2018-02-01T09:08:59Z,2026-03-05T21:42:35Z,HTML,787,51,1150,1063
Raphire,Win11Debloat,40614,2020-10-27T22:26:59Z,2026-03-05T23:39:49Z,PowerShell,58,23,286,251
LC044,WeChatMsg,40598,2023-01-11T05:03:49Z,2026-03-05T20:40:55Z,,62,0,0,0
jingyaogong,minimind,40496,2024-07-27T04:34:12Z,2026-03-05T23:40:36Z,Python,9,2,549,524
zen-browser,desktop,40471,2024-03-28T00:05:55Z,2026-03-05T23:44:14Z,JavaScript,784,155,8465,7976
bradtraversy,50projects50days,40468,2020-11-16T14:39:01Z,2026-03-05T20:41:45Z,CSS,44,0,0,0
calcom,cal.com,40466,2021-03-22T13:47:42Z,2026-03-05T23:21:59Z,TypeScript,12900,611,9055,8074
DataExpert-io,data-engineer-handbook,40415,2023-11-19T19:47:41Z,2026-03-05T23:09:35Z,Jupyter Notebook,177,0,84,71
saadeghi,daisyui,40410,2020-11-28T22:57:27Z,2026-03-05T21:59:16Z,Svelte,524,184,2113,2083
chakra-ui,chakra-ui,40350,2019-08-17T14:27:54Z,2026-03-05T22:04:30Z,TypeScript,2927,1000,4284,4279
QSCTech,zju-icicles,40305,2016-06-28T16:17:32Z,2026-03-05T15:32:43Z,HTML,232,0,78,69
twentyhq,twenty,40248,2022-12-01T13:04:40Z,2026-03-05T22:57:40Z,TypeScript,10119,59,6134,5921
charmbracelet,bubbletea,40238,2020-01-10T21:04:03Z,2026-03-05T22:49:34Z,Go,673,72,408,314
aria2,aria2,40199,2010-11-27T09:41:48Z,2026-03-05T22:52:29Z,C++,254,24,1914,826
zbezj,HEU_KMS_Activator,40196,2019-06-23T00:49:35Z,2026-03-05T17:52:45Z,,0,49,194,31
wg,wrk,40113,2012-03-20T11:12:28Z,2026-03-05T16:00:06Z,C,0,0,407,262
remoteintech,remote-jobs,40055,2015-10-13T03:49:25Z,2026-03-05T14:43:10Z,Nunjucks,1374,0,202,196
php,php-src,39981,2011-06-16T01:52:25Z,2026-03-05T22:46:36Z,C,4788,42,4931,3990
vim,vim,39958,2015-08-18T21:03:56Z,2026-03-05T20:39:42Z,Vim Script,440,0,9354,7785
google-research,bert,39890,2018-10-25T22:57:34Z,2026-03-05T20:37:17Z,Python,32,0,1145,355
