owner,name,stars,created_at,updated_at,language,merged_prs,releases,issues_total,issues_closed
amruthpillai,reactive-resume,35576,2020-03-25T14:08:22Z,2026-03-05T22:52:20Z,TypeScript,729,110,1846,1799
umami-software,umami,35537,2020-07-17T07:59:00Z,2026-03-05T23:34:35Z,TypeScript,871,106,2074,1979
xyflow,xyflow,35501,2019-07-15T14:47:30Z,2026-03-05T20:38:43Z,TypeScript,1468,369,2366,2274
alvarotrigo,fullPage.js,35489,2013-09-20T11:58:29Z,2026-03-05T21:18:08Z,JavaScript,327,109,4152,4043
ueberdosis,tiptap,35461,2018-08-20T19:58:58Z,2026-03-05T19:08:16Z,TypeScript,1504,950,3524,2713
vadimdemedes,ink,35379,2017-06-12T06:12:28Z,2026-03-05T23:26:43Z,TypeScript,290,72,409,394
nativefier,nativefier,35355,2015-07-05T05:56:42Z,2026-03-04T22:17:51Z,TypeScript,261,99,1237,982
solidjs,solid,35290,2018-04-24T16:36:27Z,2026-03-05T20:45:11Z,TypeScript,395,36,1122,1024
sahat,hackathon-starter,35211,2013-11-13T17:24:12Z,2026-03-05T13:30:41Z,JavaScript,449,18,717,716
hashicorp,vault,35163,2015-02-25T00:15:59Z,2026-03-05T23:01:19Z,Go,21325,176,6504,5289
unknwon,the-way-to-go_ZH_CN,35161,2013-03-24T17:18:38Z,2026-03-05T08:30:14Z,Go,592,0,0,0
DioxusLabs,dioxus,35119,2021-01-15T01:57:26Z,2026-03-05T22:34:11Z,Rust,1969,33,2446,1853
bumptech,glide,35034,2013-07-08T22:52:33Z,2026-03-05T20:23:36Z,Java,605,54,4517,3935
jax-ml,jax,35007,2018-10-25T21:25:02Z,2026-03-05T23:14:46Z,Python,17774,134,6875,5192
LizardByte,Sunshine,34969,2021-12-15T23:38:57Z,2026-03-05T23:29:58Z,C++,1723,45,1183,1107
geekan,HowToLiveLonger,34965,2022-04-16T04:15:18Z,2026-03-05T18:04:17Z,,14,0,140,103
pbatard,rufus,34952,2011-11-19T19:12:05Z,2026-03-05T18:20:44Z,C,1,88,2625,2616
zsh-users,zsh-autosuggestions,34940,2013-10-26T16:09:37Z,2026-03-05T21:02:15Z,Shell,116,0,620,458
sorrycc,awesome-javascript,34920,2014-07-01T15:59:02Z,2026-03-05T14:28:48Z,,404,0,93,89
TriliumNext,Trilium,34899,2017-05-23T00:30:20Z,2026-03-05T21:06:53Z,TypeScript,1801,348,5183,4323
netty,netty,34842,2010-11-09T09:22:21Z,2026-03-05T23:40:00Z,Java,5065,0,6849,6281
typicode,husky,34839,2014-06-23T12:14:21Z,2026-03-05T07:33:12Z,JavaScript,262,80,1110,1031
geekcomputers,Python,34784,2011-11-30T09:04:08Z,2026-03-05T23:38:25Z,Python,2016,0,530,159
fxsjy,jieba,34778,2012-09-29T07:52:01Z,2026-03-05T13:27:44Z,Python,96,9,873,231
BVLC,caffe,34775,2013-09-12T18:39:48Z,2026-03-05T23:17:56Z,C++,1087,14,4801,3903
RVC-Project,Retrieval-based-Voice-Conversion-WebUI,34675,2023-03-27T09:59:10Z,2026-03-05T22:51:52Z,Python,477,7,1994,1314
mouredev,Hello-Python,34674,2022-08-03T17:14:53Z,2026-03-05T22:34:32Z,Python,0,0,425,404
ryanhanwu,How-To-Ask-Questions-The-Smart-Way,34656,2015-03-28T16:52:40Z,2026-03-05T18:28:07Z,JavaScript,98,0,30,20
Textualize,textual,34633,2021-04-08T15:24:47Z,2026-03-05T22:35:46Z,Python,2283,212,2351,2156
alan2207,bulletproof-react,34567,2021-05-30T14:47:16Z,2026-03-05T22:27:47Z,TypeScript,70,0,117,77
laravel,framework,34556,2013-01-10T21:27:28Z,2026-03-05T16:30:17Z,PHP,17566,911,19156,19104
xinntao,Real-ESRGAN,34525,2021-07-19T03:23:30Z,2026-03-05T22:05:50Z,Python,21,10,752,174
kuchin,awesome-cto,34442,2016-12-16T19:22:18Z,2026-03-05T21:17:14Z,,18,0,14,14
jaredpalmer,formik,34387,2017-06-14T19:50:59Z,2026-03-05T09:46:24Z,TypeScript,836,200,2268,1562
directus,directus,34385,2012-12-12T01:35:36Z,2026-03-05T22:22:15Z,TypeScript,8544,357,9741,9392
danny-avila,LibreChat,34375,2023-02-12T01:06:52Z,2026-03-05T22:31:45Z,TypeScript,2901,80,4178,3941
google,langextract,34348,2025-07-08T20:46:06Z,2026-03-05T23:25:31Z,Python,78,12,180,92
xitu,gold-miner,34344,2015-11-04T03:29:13Z,2026-03-05T15:10:06Z,,3563,0,5602,5591
nodejs,node-v0.x-archive,34341,2009-05-27T16:29:46Z,2026-03-05T16:52:19Z,,218,0,6379,6379
hyprwm,Hyprland,34339,2022-03-16T19:49:13Z,2026-03-05T23:41:09Z,C++,2277,107,7483,7424
mpv-player,mpv,34321,2012-10-13T08:08:44Z,2026-03-05T22:35:45Z,C,3783,88,10842,9867
python-poetry,poetry,34301,2018-02-28T15:23:47Z,2026-03-05T19:18:11Z,Python,2425,147,6317,5811
schollz,croc,34297,2017-10-17T15:20:18Z,2026-03-05T14:25:49Z,Go,283,180,563,561
nextcloud,server,34254,2016-06-02T07:44:14Z,2026-03-05T23:24:58Z,PHP,30966,405,20841,18363
ashishps1,awesome-system-design-resources,34249,2023-10-25T01:50:42Z,2026-03-05T22:15:43Z,Java,3,0,30,26
chenfei-wu,TaskMatrix,34238,2023-03-02T09:04:28Z,2026-03-05T22:03:45Z,Python,21,0,357,136
pnpm,pnpm,34234,2016-01-28T07:40:43Z,2026-03-05T20:44:28Z,TypeScript,3022,1000,5236,3210
gchq,CyberChef,34221,2016-11-28T10:34:07Z,2026-03-05T22:29:38Z,JavaScript,555,451,1106,664
anthropics,claude-cookbooks,34219,2023-08-15T20:23:51Z,2026-03-05T23:33:05Z,Jupyter Notebook,147,0,131,122
testerSunshine,12306,34186,2017-05-17T12:23:40Z,2026-03-05T16:43:58Z,Python,31,1,690,466
refinedev,refine,34180,2021-01-20T12:01:32Z,2026-03-05T18:42:08Z,TypeScript,4653,1000,1726,1715
zenorocha,clipboard.js,34178,2015-09-18T23:04:55Z,2026-03-05T12:49:59Z,JavaScript,117,42,629,618
facebookresearch,detectron2,34167,2019-09-05T21:30:20Z,2026-03-05T22:15:00Z,Python,0,10,3569,3099
microsoft,Data-Science-For-Beginners,34135,2021-03-03T16:30:15Z,2026-03-05T22:33:15Z,Jupyter Notebook,452,0,136,135
xkcoding,spring-boot-demo,34103,2017-11-10T06:27:29Z,2026-03-05T11:15:34Z,Java,15,0,173,73
TheAlgorithms,JavaScript,34081,2017-07-13T06:12:33Z,2026-03-05T23:10:54Z,JavaScript,798,0,223,202
SeleniumHQ,selenium,34077,2013-01-14T21:40:56Z,2026-03-05T19:39:31Z,Java,3648,114,11135,11016
atlassian,react-beautiful-dnd,34048,2017-08-09T03:37:15Z,2026-03-05T20:29:22Z,JavaScript,531,68,1619,1047
anoma,anoma,34033,2021-02-02T10:00:16Z,2026-03-04T19:02:50Z,Elixir,897,12,713,630
1Panel-dev,1Panel,34021,2022-07-19T15:44:52Z,2026-03-05T21:27:04Z,Go,4716,109,6323,5912
ajeetdsouza,zoxide,34014,2020-03-05T13:11:40Z,2026-03-05T23:36:53Z,Rust,247,37,719,601
qishibo,AnotherRedisDesktopManager,33998,2019-01-08T06:01:56Z,2026-03-05T18:35:30Z,JavaScript,152,53,1100,936
google-ai-edge,mediapipe,33998,2019-06-13T19:16:41Z,2026-03-05T20:05:05Z,C++,201,64,5616,5182
ehang-io,nps,33937,2018-11-04T13:22:51Z,2026-03-05T15:18:46Z,Go,74,59,1205,697
TheAlgorithms,C-Plus-Plus,33904,2016-07-16T10:19:45Z,2026-03-05T23:07:19Z,C++,705,0,331,323
zxing,zxing,33875,2011-10-12T14:07:27Z,2026-03-05T21:39:59Z,Java,345,32,1340,1336
harness,harness,33851,2014-02-07T07:54:44Z,2026-03-05T20:40:48Z,Go,1053,55,2017,1937
GorvGoyl,Clone-Wars,33851,2020-12-02T11:10:16Z,2026-03-05T15:52:04Z,,130,0,87,70
CMU-Perceptual-Computing-Lab,openpose,33828,2017-04-24T14:06:31Z,2026-03-05T19:01:53Z,C++,174,15,2007,1667
halfrost,LeetCode-Go,33815,2017-07-18T00:06:14Z,2026-03-05T17:20:17Z,Go,178,4,82,64
Pythagora-io,gpt-pilot,33807,2023-08-16T11:56:07Z,2026-03-05T20:00:30Z,Python,396,0,553,314
asgeirtj,system_prompts_leaks,33805,2025-05-03T02:43:56Z,2026-03-05T23:48:16Z,HTML,20,0,0,0
jqlang,jq,33802,2012-07-18T19:57:25Z,2026-03-05T22:15:30Z,C,681,15,2320,1962
alibaba,easyexcel,33760,2018-02-06T03:14:08Z,2026-03-05T11:38:19Z,Java,190,14,3620,3131
Blankj,AndroidUtilCode,33710,2016-07-30T18:18:32Z,2026-03-04T23:34:09Z,Java,88,117,1595,1283
AFNetworking,AFNetworking,33690,2011-05-31T21:28:44Z,2026-03-05T05:47:27Z,Objective-C,710,40,0,0
lllyasviel,ControlNet,33690,2023-02-01T02:43:30Z,2026-03-05T19:06:09Z,Python,5,0,574,138
filebrowser,filebrowser,33667,2015-09-11T21:21:58Z,2026-03-05T22:33:56Z,Go,761,129,2897,2866
ZuodaoTech,everyone-can-use-english,33665,2019-03-15T16:33:53Z,2026-03-05T17:57:16Z,TypeScript,462,48,470,376
carbon-language,carbon-lang,33635,2020-04-27T21:45:16Z,2026-03-05T23:36:29Z,C++,5034,606,794,617
shadowsocks,shadowsocks,33627,2012-04-20T13:10:49Z,2026-03-05T13:26:12Z,Python,70,2,0,0
sxyazi,yazi,33488,2023-07-08T11:45:55Z,2026-03-05T23:29:47Z,Rust,1129,30,1695,1650
XX-net,XX-Net,33450,2015-01-15T09:35:51Z,2026-03-05T22:34:27Z,Python,363,390,13340,5417
lib-pku,libpku,33356,2018-11-22T13:33:06Z,2026-03-05T15:54:40Z,TeX,22,0,43,32
v2fly,v2ray-core,33338,2019-04-15T10:05:54Z,2026-03-05T12:13:41Z,Go,978,121,1078,1054
IceWhaleTech,CasaOS,33331,2021-09-26T02:33:09Z,2026-03-05T17:53:03Z,Go,275,97,1676,897
explosion,spaCy,33282,2014-07-03T15:15:40Z,2026-03-05T18:18:35Z,Python,3598,133,5742,5585
swc-project,swc,33277,2017-12-22T11:40:14Z,2026-03-05T22:58:12Z,Rust,5893,780,4111,3736
bayandin,awesome-awesomeness,33269,2014-07-08T05:44:19Z,2026-03-05T23:04:23Z,Ruby,197,0,70,52
balena-io,etcher,33229,2015-10-27T16:53:23Z,2026-03-05T23:12:33Z,TypeScript,1731,289,2461,1850
pcottle,learnGitBranching,33193,2012-08-13T22:36:09Z,2026-03-05T19:38:15Z,JavaScript,650,0,531,478
keycloak,keycloak,33155,2013-07-02T13:38:51Z,2026-03-05T23:06:40Z,Java,19240,102,17588,15322
khoj-ai,khoj,33151,2021-08-16T01:48:44Z,2026-03-05T23:47:04Z,Python,486,170,568,487
bilibili,ijkplayer,33127,2013-06-03T04:12:04Z,2026-03-05T12:23:05Z,C,35,0,5384,2547
drizzle-team,drizzle-orm,33123,2021-06-24T09:03:05Z,2026-03-05T22:10:38Z,TypeScript,660,170,3466,2240
utmapp,UTM,33114,2019-04-12T16:09:24Z,2026-03-05T23:23:43Z,Swift,277,128,3585,2610
awesome-foss,awesome-sysadmin,33112,2014-12-23T08:41:22Z,2026-03-05T23:24:56Z,,342,0,105,90
adobe,brackets,33105,2011-12-07T21:14:40Z,2026-03-05T08:17:47Z,JavaScript,4332,69,9683,7066
immutable-js,immutable-js,33098,2014-07-02T06:02:29Z,2026-03-05T23:05:21Z,TypeScript,621,92,1267,1171
mckaywrigley,chatbot-ui,33070,2023-03-11T14:53:14Z,2026-03-05T18:18:14Z,TypeScript,281,0,1002,817
thedotmack,claude-mem,33046,2025-08-31T20:50:03Z,2026-03-05T23:43:21Z,TypeScript,211,209,665,623
gulpjs,gulp,33008,2013-07-04T05:26:06Z,2026-03-05T12:37:01Z,JavaScript,412,24,1937,1907
TabbyML,tabby,32982,2023-03-16T09:18:01Z,2026-03-05T16:20:59Z,Rust,3001,249,991,753
derailed,k9s,32978,2019-01-25T18:46:02Z,2026-03-05T21:53:20Z,Go,963,257,2284,2087
SerenityOS,serenity,32966,2018-12-02T19:28:41Z,2026-03-05T17:02:45Z,C++,19924,0,4293,3572
wailsapp,wails,32963,2018-12-15T23:14:06Z,2026-03-05T19:50:10Z,Go,1690,292,2321,2092
huggingface,diffusers,32934,2022-05-30T16:04:02Z,2026-03-05T18:23:47Z,Python,5519,89,5235,4632
AdguardTeam,AdGuardHome,32919,2016-07-06T10:31:47Z,2026-03-05T23:08:18Z,Go,125,229,5920,4698
GyulyVGC,sniffnet,32914,2022-07-31T21:55:56Z,2026-03-05T23:40:59Z,Rust,480,16,314,267
shadowsocks,ShadowsocksX-NG,32905,2016-06-10T11:49:00Z,2026-03-05T13:55:47Z,Swift,64,30,1360,1051
certbot,certbot,32884,2014-11-12T02:52:20Z,2026-03-05T21:24:47Z,Python,4078,68,5522,5390
aquasecurity,trivy,32878,2019-04-11T01:01:07Z,2026-03-05T23:44:30Z,Go,3497,85,3032,2867
ocrmypdf,OCRmyPDF,32843,2013-12-20T08:26:28Z,2026-03-05T19:10:20Z,Python,169,52,1322,1185
firecracker-microvm,firecracker,32834,2017-10-19T06:18:47Z,2026-03-05T23:19:01Z,Rust,3427,84,1485,1435
nothings,stb,32825,2014-05-25T16:51:23Z,2026-03-05T23:00:53Z,C,291,0,936,716
fish-shell,fish-shell,32817,2012-05-10T03:00:55Z,2026-03-05T23:11:59Z,Rust,2192,62,8014,7522
ibraheemdev,modern-unix,32807,2021-01-12T00:50:14Z,2026-03-05T21:34:46Z,,15,0,84,30
zeromicro,go-zero,32759,2020-08-07T15:37:57Z,2026-03-05T22:52:51Z,Go,2435,149,1956,1787
backstage,backstage,32743,2020-01-24T22:39:49Z,2026-03-05T23:10:18Z,TypeScript,20357,496,7478,7178
openai,CLIP,32709,2020-12-16T11:24:42Z,2026-03-05T20:29:54Z,Jupyter Notebook,29,0,442,192
chen08209,FlClash,32702,2023-08-15T07:47:22Z,2026-03-05T21:31:12Z,Dart,2,102,1609,1001
google,comprehensive-rust,32693,2022-12-21T15:17:24Z,2026-03-05T23:10:08Z,Rust,2402,0,362,242
alibaba,nacos,32689,2018-06-15T06:49:27Z,2026-03-05T22:23:02Z,Java,3332,88,9489,9279
mli,paper-reading,32635,2021-10-22T06:34:51Z,2026-03-05T12:15:42Z,,15,0,0,0
qier222,YesPlayMusic,32626,2020-10-09T10:04:21Z,2026-03-05T21:34:03Z,Vue,292,32,1834,1200
binarywang,WxJava,32600,2016-01-06T08:24:05Z,2026-03-05T16:31:17Z,Java,1182,31,2455,2447
anthropics,prompt-eng-interactive-tutorial,32590,2024-04-02T15:52:00Z,2026-03-05T23:48:14Z,Jupyter Notebook,1,0,35,4
MonitorControl,MonitorControl,32583,2017-09-16T21:13:40Z,2026-03-05T20:22:11Z,Swift,220,26,1010,994
stanfordnlp,dspy,32570,2023-01-09T21:01:51Z,2026-03-05T20:51:17Z,Python,1469,106,1512,1235
lutzroeder,netron,32526,2010-12-26T12:53:43Z,2026-03-05T23:26:03Z,JavaScript,1,4,1253,1236
restic,restic,32520,2014-04-27T14:07:58Z,2026-03-05T21:31:16Z,Go,2318,49,2915,2469
block,goose,32471,2024-08-23T19:03:36Z,2026-03-05T23:48:34Z,Rust,4287,122,1806,1513
remix-run,remix,32471,2020-10-26T19:57:28Z,2026-03-05T20:46:13Z,TypeScript,3662,357,2694,2659
floating-ui,floating-ui,32468,2016-03-29T17:00:47Z,2026-03-05T18:23:09Z,TypeScript,1209,506,1477,1443
yewstack,yew,32453,2017-12-16T14:19:02Z,2026-03-05T20:26:41Z,Rust,1879,38,1268,1172
open-mmlab,mmdetection,32438,2018-08-22T07:06:06Z,2026-03-05T21:30:32Z,Python,2358,53,8523,6753
beego,beego,32426,2012-02-29T02:32:08Z,2026-03-05T11:16:43Z,Go,1326,42,3381,3379
ziadoz,awesome-php,32402,2013-11-26T03:14:19Z,2026-03-05T11:12:42Z,,457,0,155,153
cursor,cursor,32377,2023-03-12T00:19:42Z,2026-03-05T23:12:53Z,,47,0,0,0
glanceapp,glance,32375,2024-04-27T18:55:38Z,2026-03-05T20:51:56Z,Go,110,33,506,293
k3s-io,k3s,32356,2018-05-31T01:37:46Z,2026-03-05T22:23:29Z,Go,4461,957,7379,7279
vercel,swr,32329,2019-10-28T18:16:01Z,2026-03-05T09:42:15Z,TypeScript,816,126,973,831
lizongying,my-tv,32250,2023-12-04T12:18:39Z,2026-03-05T13:27:49Z,C,11,72,921,777
medusajs,medusa,32232,2020-01-18T13:39:04Z,2026-03-05T20:06:39Z,TypeScript,8408,146,3660,3591
google,material-design-lite,32216,2015-01-14T22:01:33Z,2026-03-05T20:32:07Z,HTML,655,14,2204,1814
0xAX,linux-insides,32214,2015-01-03T18:44:57Z,2026-03-05T20:32:01Z,Python,619,0,191,168
labstack,echo,32210,2015-03-01T17:43:01Z,2026-03-05T17:28:25Z,Go,629,116,1489,1441
yunjey,pytorch-tutorial,32208,2017-03-10T07:41:47Z,2026-03-05T17:44:43Z,Python,28,0,180,114
Lissy93,web-check,32201,2023-06-25T14:32:11Z,2026-03-05T19:01:50Z,TypeScript,53,1,136,65
datalab-to,marker,32186,2023-10-30T20:14:08Z,2026-03-05T23:39:11Z,Python,228,71,650,324
facebookresearch,fairseq,32178,2017-08-29T16:26:12Z,2026-03-05T16:21:28Z,Python,236,16,4260,3060
The-Run-Philosophy-Organization,run,32144,2022-04-10T05:42:40Z,2026-03-05T16:53:29Z,,172,0,261,216
linera-io,linera-protocol,32136,2021-12-19T04:09:21Z,2026-03-05T23:15:15Z,Rust,3548,31,1443,903
apache,kafka,32111,2011-08-15T18:06:16Z,2026-03-05T23:09:25Z,Java,12773,0,0,0
frappe,erpnext,32086,2011-06-08T08:20:56Z,2026-03-05T23:18:08Z,Python,28711,1000,17753,15805
PDFMathTranslate,PDFMathTranslate,32047,2024-09-06T06:56:03Z,2026-03-05T18:37:22Z,Python,136,24,857,732
ashishpatel26,500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,32038,2021-01-02T12:08:37Z,2026-03-05T23:18:24Z,,3,0,74,26
cockroachdb,cockroach,31995,2014-02-06T00:18:47Z,2026-03-05T22:47:18Z,Go,72797,0,82371,75725
lovell,sharp,31979,2013-08-19T20:24:24Z,2026-03-05T14:59:36Z,JavaScript,311,107,4030,3912
linexjlin,GPTs,31974,2023-11-11T03:24:16Z,2026-03-05T22:54:04Z,,45,0,31,21
NginxProxyManager,nginx-proxy-manager,31968,2017-12-20T23:01:16Z,2026-03-05T23:08:03Z,TypeScript,683,86,3189,2344
nicolargo,glances,31945,2011-12-04T08:49:15Z,2026-03-05T20:58:09Z,Python,772,55,2161,2030
hasura,graphql-engine,31913,2018-06-18T07:57:36Z,2026-03-05T19:22:12Z,TypeScript,2110,300,6409,4165
PostHog,posthog,31896,2020-01-23T22:46:58Z,2026-03-05T23:33:54Z,Python,34575,84,9091,6359
dokku,dokku,31892,2013-06-08T10:26:57Z,2026-03-05T23:18:01Z,Shell,4511,317,2844,2817
casey,just,31854,2016-06-17T06:08:08Z,2026-03-05T22:45:54Z,Rust,1370,131,1350,1005
Trinea,android-open-project,31840,2014-01-05T15:20:15Z,2026-03-05T05:11:41Z,,204,0,87,75
niklasvh,html2canvas,31808,2011-07-16T01:05:58Z,2026-03-05T15:41:27Z,TypeScript,186,45,2633,1664
Chanzhaoyu,chatgpt-web,31807,2023-02-09T03:21:37Z,2026-03-05T13:48:00Z,Vue,159,43,1746,1746
KeygraphHQ,shannon,31785,2025-09-27T01:51:47Z,2026-03-05T23:50:04Z,TypeScript,57,0,76,67
microsoft,MS-DOS,31762,2018-06-25T18:26:02Z,2026-03-05T13:42:03Z,Assembly,37,0,0,0
valinet,ExplorerPatcher,31759,2021-08-09T14:17:24Z,2026-03-05T22:34:38Z,C,19,296,2660,2358
airbnb,lottie-web,31731,2015-02-20T21:02:59Z,2026-03-05T18:52:12Z,JavaScript,136,0,2908,2128
amix,vimrc,31716,2012-05-29T16:19:29Z,2026-03-05T18:19:50Z,Vim Script,107,0,523,510
kovidgoyal,kitty,31666,2016-10-16T14:48:28Z,2026-03-05T23:41:44Z,Python,1244,132,6662,6653
vbenjs,vue-vben-admin,31663,2020-07-11T02:29:21Z,2026-03-05T15:56:00Z,Vue,1748,61,3900,3822
continuedev,continue,31655,2023-05-24T03:39:39Z,2026-03-05T20:41:31Z,TypeScript,3891,803,5537,4503
ReactiveX,rxjs,31653,2015-03-15T06:17:10Z,2026-03-05T15:25:18Z,TypeScript,2588,2,3165,2942
facebook,rocksdb,31598,2012-11-30T06:16:18Z,2026-03-05T22:21:30Z,C++,620,212,3501,2650
codex-team,editor.js,31588,2015-11-28T20:56:35Z,2026-03-05T22:40:50Z,TypeScript,870,107,1540,937
ianstormtaylor,slate,31579,2016-06-18T01:52:42Z,2026-03-05T23:18:02Z,TypeScript,1980,210,3228,2548
shardeum,shardeum,31567,2024-04-16T22:37:25Z,2026-03-05T23:15:37Z,TypeScript,326,0,40,35
numpy,numpy,31561,2010-09-13T23:02:39Z,2026-03-05T22:24:08Z,Python,13915,139,13822,11725
kubernetes,minikube,31554,2016-04-15T22:38:35Z,2026-03-05T20:43:37Z,Go,9396,154,10451,9937
tinygrad,tinygrad,31496,2020-10-18T16:23:12Z,2026-03-05T21:54:44Z,Python,10523,14,1083,959
conductor-oss,conductor,31489,2023-12-08T06:06:09Z,2026-03-05T21:43:55Z,Java,340,33,241,143
OWASP,CheatSheetSeries,31482,2018-12-21T14:26:43Z,2026-03-05T19:14:22Z,Python,1198,0,630,580
surrealdb,surrealdb,31443,2021-12-09T15:03:29Z,2026-03-05T23:05:34Z,Rust,2605,121,2383,1786
OpenBMB,ChatDev,31400,2023-08-28T02:18:13Z,2026-03-05T23:25:50Z,Python,136,11,303,269
raysan5,raylib,31391,2013-10-24T15:46:04Z,2026-03-05T18:34:25Z,C,2448,24,2128,2128
tokio-rs,tokio,31368,2016-09-09T22:31:36Z,2026-03-05T23:41:23Z,Rust,3802,141,2616,2291
influxdata,influxdb,31353,2013-09-26T14:31:10Z,2026-03-05T21:41:17Z,Rust,10939,95,14169,12121
TauricResearch,TradingAgents,31353,2024-12-28T03:31:08Z,2026-03-05T23:24:55Z,Python,19,1,195,33
coolsnowwolf,lede,31334,2017-09-06T07:39:03Z,2026-03-05T12:23:29Z,C,2051,7,9324,8506
Dokploy,dokploy,31331,2024-04-19T07:49:30Z,2026-03-05T22:26:24Z,TypeScript,1329,147,1659,1256
MHSanaei,3x-ui,31296,2023-02-09T19:16:57Z,2026-03-05T23:29:52Z,HTML,642,102,2684,2275
koala73,worldmonitor,31291,2026-01-08T17:26:06Z,2026-03-05T23:50:16Z,TypeScript,663,43,207,141
ItzCrazyKns,Perplexica,31286,2024-04-09T10:51:32Z,2026-03-05T23:45:59Z,TypeScript,82,33,613,433
alpinejs,alpine,31278,2019-11-28T13:51:55Z,2026-03-05T13:30:59Z,HTML,694,146,613,613
microsoft,WSL,31275,2016-04-06T17:32:56Z,2026-03-05T22:27:00Z,C++,542,97,12068,11149
mathiasbynens,dotfiles,31256,2011-09-05T18:07:54Z,2026-03-05T15:33:54Z,Shell,44,0,393,255
microsoft,graphrag,31252,2024-03-27T17:57:52Z,2026-03-05T22:55:07Z,Python,720,35,801,772
donnemartin,interactive-coding-challenges,31210,2015-04-28T21:36:39Z,2026-03-05T18:22:39Z,Python,176,0,69,32
patchy631,ai-engineering-hub,31200,2024-10-21T10:43:24Z,2026-03-05T23:09:02Z,Jupyter Notebook,62,0,44,14
parallax,jsPDF,31165,2009-12-06T14:56:32Z,2026-03-05T19:03:42Z,JavaScript,753,41,2586,2482
motiondivision,motion,31130,2018-11-16T09:48:38Z,2026-03-05T20:32:58Z,TypeScript,1176,0,1917,1718
mqyqingfeng,Blog,31121,2017-03-13T10:04:33Z,2026-03-05T08:41:50Z,,3,0,399,101
SagerNet,sing-box,31108,2022-06-30T13:27:22Z,2026-03-05T22:43:27Z,Go,190,499,2951,2791
DevToys-app,DevToys,31041,2021-09-29T01:40:41Z,2026-03-05T19:01:52Z,C#,501,39,979,664
docsifyjs,docsify,31029,2016-11-20T07:55:43Z,2026-03-05T14:57:25Z,JavaScript,782,16,1311,1230
SortableJS,Sortable,31020,2013-12-19T10:10:13Z,2026-03-05T20:29:05Z,JavaScript,248,31,1825,1346
tqdm,tqdm,31002,2015-06-03T13:13:14Z,2026-03-05T17:09:27Z,Python,289,133,1039,594
fabricjs,fabric.js,30980,2010-06-09T22:24:38Z,2026-03-05T23:16:39Z,TypeScript,2427,181,6205,5780
symfony,symfony,30965,2010-01-04T14:21:21Z,2026-03-05T21:56:05Z,PHP,25574,600,21780,21417
pear-devs,pear-desktop,30957,2019-04-19T18:14:40Z,2026-03-05T23:41:35Z,TypeScript,1630,87,1958,1380
eriklindernoren,ML-From-Scratch,30953,2017-02-05T12:11:23Z,2026-03-05T23:21:22Z,Python,9,0,78,37
OAI,OpenAPI-Specification,30939,2014-03-03T16:53:36Z,2026-03-05T14:03:05Z,Markdown,1793,14,2410,2307
iawia002,lux,30927,2018-02-24T11:29:03Z,2026-03-05T16:50:22Z,Go,304,86,1073,548
containers,podman,30906,2017-11-01T15:01:27Z,2026-03-05T22:09:49Z,Go,12211,236,10467,9557
Lightning-AI,pytorch-lightning,30902,2019-03-31T00:45:57Z,2026-03-05T17:04:41Z,Python,9336,172,7497,6660
ascoders,weekly,30884,2017-03-20T06:10:04Z,2026-03-05T10:13:43Z,JavaScript,136,193,370,366
microsoft,calculator,30862,2019-01-28T17:55:49Z,2026-03-05T09:57:53Z,C++,913,0,1147,728
alibaba,p3c,30830,2017-06-23T06:15:51Z,2026-03-05T13:40:43Z,Kotlin,62,0,859,698
webtorrent,webtorrent,30817,2013-10-15T08:16:40Z,2026-03-05T18:15:56Z,JavaScript,970,229,1675,1607
blueimp,jQuery-File-Upload,30808,2010-12-01T15:35:32Z,2026-03-05T21:33:29Z,PHP,119,0,3305,3256
AMAI-GmbH,AI-Expert-Roadmap,30777,2020-10-24T21:49:40Z,2026-03-05T22:29:39Z,JavaScript,14,0,70,54
seaweedfs,seaweedfs,30765,2014-07-14T16:41:37Z,2026-03-05T23:38:12Z,Go,3671,289,3531,2905
mantinedev,mantine,30739,2021-01-07T14:02:19Z,2026-03-05T23:33:40Z,TypeScript,1591,291,3453,3427
aristocratos,btop,30726,2021-05-06T18:40:21Z,2026-03-05T23:24:09Z,C++,372,54,904,481
XIU2,TrackersListCollection,30717,2019-10-03T15:55:07Z,2026-03-05T16:37:25Z,,7,0,0,0
transloadit,uppy,30663,2015-11-16T12:32:33Z,2026-03-05T16:30:56Z,TypeScript,3275,392,2520,2351
blakeblackshear,frigate,30652,2019-01-26T13:52:38Z,2026-03-05T23:19:35Z,TypeScript,3726,81,5882,5794
ityouknow,spring-boot-examples,30646,2016-11-05T05:32:33Z,2026-03-05T21:17:03Z,Java,7,0,109,99
refined-github,refined-github,30611,2016-02-15T16:45:02Z,2026-03-05T18:48:52Z,TypeScript,3598,186,4695,4603
iperov,DeepFaceLive,30591,2020-12-15T12:19:22Z,2026-03-05T20:01:59Z,Python,13,35,144,143
s0md3v,roop,30546,2023-05-28T14:37:54Z,2026-03-05T20:01:48Z,Python,82,6,0,0
layui,layui,30537,2015-09-22T08:12:03Z,2026-03-05T13:44:15Z,JavaScript,673,173,1452,1398
dgtlmoon,changedetection.io,30452,2021-01-27T16:03:30Z,2026-03-05T20:24:51Z,Python,1053,203,1617,1327
