owner,name,stars,created_at,updated_at,language,merged_prs,releases,issues_total,issues_closed
unknwon,the-way-to-go_ZH_CN,35161,2013-03-24T17:18:38Z,2026-03-13T09:30:56Z,Go,592,0,0,0
pbatard,rufus,35089,2011-11-19T19:12:05Z,2026-03-13T16:04:25Z,C,1,88,2633,2623
jax-ml,jax,35076,2018-10-25T21:25:02Z,2026-03-13T17:51:22Z,Python,17951,134,6886,5194
bumptech,glide,35036,2013-07-08T22:52:33Z,2026-03-13T08:58:33Z,Java,605,54,4518,3935
TriliumNext,Trilium,35027,2017-05-23T00:30:20Z,2026-03-13T16:50:11Z,TypeScript,1861,349,5213,4329
ashishps1,awesome-system-design-resources,35007,2023-10-25T01:50:42Z,2026-03-13T17:22:28Z,Java,3,0,31,26
zsh-users,zsh-autosuggestions,35004,2013-10-26T16:09:37Z,2026-03-13T17:46:20Z,Shell,116,0,620,458
geekan,HowToLiveLonger,34980,2022-04-16T04:15:18Z,2026-03-13T10:23:00Z,,14,0,140,103
sorrycc,awesome-javascript,34924,2014-07-01T15:59:02Z,2026-03-13T06:10:51Z,,404,0,93,89
anthropics,claude-cookbooks,34871,2023-08-15T20:23:51Z,2026-03-13T17:44:31Z,Jupyter Notebook,148,0,133,133
typicode,husky,34865,2014-06-23T12:14:21Z,2026-03-13T13:27:47Z,JavaScript,262,80,1111,1031
netty,netty,34844,2010-11-09T09:22:21Z,2026-03-13T15:49:13Z,Java,5109,0,6850,6284
geekcomputers,Python,34821,2011-11-30T09:04:08Z,2026-03-13T16:18:15Z,Python,2017,0,530,159
RVC-Project,Retrieval-based-Voice-Conversion-WebUI,34805,2023-03-27T09:59:10Z,2026-03-13T16:53:07Z,Python,477,7,1998,1314
fxsjy,jieba,34797,2012-09-29T07:52:01Z,2026-03-13T09:26:55Z,Python,96,9,875,231
Textualize,textual,34785,2021-04-08T15:24:47Z,2026-03-13T17:26:22Z,Python,2286,214,2354,2157
BVLC,caffe,34770,2013-09-12T18:39:48Z,2026-03-12T08:39:16Z,C++,1087,14,4801,3903
mouredev,Hello-Python,34768,2022-08-03T17:14:53Z,2026-03-13T17:18:42Z,Python,0,0,430,404
ryanhanwu,How-To-Ask-Questions-The-Smart-Way,34706,2015-03-28T16:52:40Z,2026-03-13T17:50:48Z,JavaScript,98,0,30,20
google,langextract,34679,2025-07-08T20:46:06Z,2026-03-13T17:29:47Z,Python,78,12,182,92
alan2207,bulletproof-react,34632,2021-05-30T14:47:16Z,2026-03-13T10:03:30Z,TypeScript,70,0,117,77
xinntao,Real-ESRGAN,34617,2021-07-19T03:23:30Z,2026-03-13T17:50:01Z,Python,21,10,753,174
danny-avila,LibreChat,34612,2023-02-12T01:06:52Z,2026-03-13T17:04:09Z,TypeScript,2930,82,4211,3967
thedotmack,claude-mem,34601,2025-08-31T20:50:03Z,2026-03-13T18:00:02Z,TypeScript,228,212,693,642
laravel,framework,34576,2013-01-10T21:27:28Z,2026-03-13T17:50:51Z,PHP,17602,913,19156,19105
kuchin,awesome-cto,34503,2016-12-16T19:22:18Z,2026-03-13T17:49:57Z,,18,0,14,14
hyprwm,Hyprland,34500,2022-03-16T19:49:13Z,2026-03-13T17:47:26Z,C++,2306,108,7491,7433
directus,directus,34472,2012-12-12T01:35:36Z,2026-03-13T17:29:26Z,TypeScript,8573,358,9765,9414
mpv-player,mpv,34409,2012-10-13T08:08:44Z,2026-03-13T16:59:12Z,C,3813,88,10854,9879
ajeetdsouza,zoxide,34402,2020-03-05T13:11:40Z,2026-03-13T17:59:29Z,Rust,247,37,719,601
jaredpalmer,formik,34388,2017-06-14T19:50:59Z,2026-03-13T00:01:46Z,TypeScript,836,200,2268,1562
schollz,croc,34354,2017-10-17T15:20:18Z,2026-03-13T10:58:48Z,Go,287,183,565,562
nodejs,node-v0.x-archive,34341,2009-05-27T16:29:46Z,2026-03-13T16:04:01Z,,218,0,6379,6379
xitu,gold-miner,34341,2015-11-04T03:29:13Z,2026-03-13T13:52:43Z,,3563,0,5602,5591
nextcloud,server,34321,2016-06-02T07:44:14Z,2026-03-13T16:03:33Z,PHP,31030,405,20880,18378
1Panel-dev,1Panel,34307,2022-07-19T15:44:52Z,2026-03-13T15:15:05Z,Go,4751,111,6358,5957
gchq,CyberChef,34290,2016-11-28T10:34:07Z,2026-03-13T16:32:56Z,JavaScript,567,451,1118,669
pnpm,pnpm,34283,2016-01-28T07:40:43Z,2026-03-13T16:17:13Z,TypeScript,3069,1000,5238,3227
python-poetry,poetry,34282,2018-02-28T15:23:47Z,2026-03-13T15:44:55Z,Python,2428,147,6321,5814
asgeirtj,system_prompts_leaks,34271,2025-05-03T02:43:56Z,2026-03-13T17:56:59Z,HTML,20,0,6,6
chenfei-wu,TaskMatrix,34232,2023-03-02T09:04:28Z,2026-03-13T13:53:00Z,Python,21,0,357,136
refinedev,refine,34218,2021-01-20T12:01:32Z,2026-03-13T14:04:17Z,TypeScript,4660,1000,1727,1716
facebookresearch,detectron2,34207,2019-09-05T21:30:20Z,2026-03-13T12:53:56Z,Python,0,10,3569,3099
microsoft,Data-Science-For-Beginners,34197,2021-03-03T16:30:15Z,2026-03-13T17:44:13Z,Jupyter Notebook,455,0,136,136
testerSunshine,12306,34186,2017-05-17T12:23:40Z,2026-03-13T15:07:19Z,Python,31,1,690,466
zenorocha,clipboard.js,34177,2015-09-18T23:04:55Z,2026-03-12T10:58:03Z,JavaScript,117,42,629,618
SeleniumHQ,selenium,34117,2013-01-14T21:40:56Z,2026-03-13T17:59:09Z,Java,3677,114,11140,11026
xkcoding,spring-boot-demo,34110,2017-11-10T06:27:29Z,2026-03-13T15:02:22Z,Java,15,0,174,74
