owner,name,stars,created_at,updated_at,language,merged_prs,releases,issues_total,issues_closed
codex-team,editor.js,31605,2015-11-28T20:56:35Z,2026-03-13T15:54:57Z,TypeScript,871,108,1541,939
numpy,numpy,31596,2010-09-13T23:02:39Z,2026-03-13T13:21:34Z,Python,13951,140,13827,11734
ianstormtaylor,slate,31588,2016-06-18T01:52:42Z,2026-03-13T09:12:40Z,TypeScript,1980,210,3228,2549
kubernetes,minikube,31581,2016-04-15T22:38:35Z,2026-03-13T15:35:42Z,Go,9396,154,10455,9944
tinygrad,tinygrad,31565,2020-10-18T16:23:12Z,2026-03-13T17:25:30Z,Python,10595,14,1085,961
shardeum,shardeum,31553,2024-04-16T22:37:25Z,2026-03-13T17:17:12Z,TypeScript,326,0,41,35
OWASP,CheatSheetSeries,31545,2018-12-21T14:26:43Z,2026-03-13T17:06:43Z,Python,1199,0,631,580
surrealdb,surrealdb,31534,2021-12-09T15:03:29Z,2026-03-13T17:25:03Z,Rust,2633,123,2390,1805
raysan5,raylib,31514,2013-10-24T15:46:04Z,2026-03-13T17:55:46Z,C,2463,24,2133,2133
conductor-oss,conductor,31497,2023-12-08T06:06:09Z,2026-03-13T18:02:04Z,Java,360,35,252,154
microsoft,graphrag,31438,2024-03-27T17:57:52Z,2026-03-13T16:58:01Z,Python,721,36,804,772
microsoft,WSL,31389,2016-04-06T17:32:56Z,2026-03-13T17:27:50Z,C++,580,97,12079,11162
tokio-rs,tokio,31387,2016-09-09T22:31:36Z,2026-03-13T16:35:27Z,Rust,3807,141,2619,2293
coolsnowwolf,lede,31361,2017-09-06T07:39:03Z,2026-03-13T17:49:21Z,C,2052,7,9330,8508
SagerNet,sing-box,31355,2022-06-30T13:27:22Z,2026-03-13T17:13:13Z,Go,193,503,2981,2807
influxdata,influxdb,31343,2013-09-26T14:31:10Z,2026-03-13T15:46:21Z,Rust,10940,96,14174,12121
alpinejs,alpine,31311,2019-11-28T13:51:55Z,2026-03-13T17:30:07Z,HTML,695,146,613,613
mathiasbynens,dotfiles,31269,2011-09-05T18:07:54Z,2026-03-13T14:28:20Z,Shell,44,0,393,255
donnemartin,interactive-coding-challenges,31239,2015-04-28T21:36:39Z,2026-03-13T16:37:08Z,Python,176,0,69,32
motiondivision,motion,31196,2018-11-16T09:48:38Z,2026-03-13T17:07:12Z,TypeScript,1209,0,1917,1755
parallax,jsPDF,31179,2009-12-06T14:56:32Z,2026-03-13T15:02:55Z,JavaScript,753,41,2589,2485
wshobson,agents,31158,2025-07-24T23:28:14Z,2026-03-13T17:28:32Z,Python,53,0,60,58
mqyqingfeng,Blog,31117,2017-03-13T10:04:33Z,2026-03-13T17:21:38Z,,3,0,404,101
DevToys-app,DevToys,31080,2021-09-29T01:40:41Z,2026-03-13T15:23:12Z,C#,501,39,980,664
docsifyjs,docsify,31047,2016-11-20T07:55:43Z,2026-03-13T07:35:30Z,JavaScript,784,17,1311,1230
pear-devs,pear-desktop,31041,2019-04-19T18:14:40Z,2026-03-13T17:42:31Z,TypeScript,1630,87,1964,1380
SortableJS,Sortable,31034,2013-12-19T10:10:13Z,2026-03-13T09:48:51Z,JavaScript,248,31,1826,1346
tqdm,tqdm,31029,2015-06-03T13:13:14Z,2026-03-13T09:18:47Z,Python,289,133,1040,594
eriklindernoren,ML-From-Scratch,31025,2017-02-05T12:11:23Z,2026-03-13T15:22:44Z,Python,9,0,78,37
containers,podman,31012,2017-11-01T15:01:27Z,2026-03-13T17:25:57Z,Go,12242,237,10490,9571
fabricjs,fabric.js,31001,2010-06-09T22:24:38Z,2026-03-13T16:47:17Z,TypeScript,2430,181,6206,5782
karpathy,autoresearch,30997,2026-03-06T22:00:43Z,2026-03-13T18:03:27Z,Python,5,0,49,14
symfony,symfony,30971,2010-01-04T14:21:21Z,2026-03-13T16:58:15Z,PHP,25614,603,21801,21443
OAI,OpenAPI-Specification,30952,2014-03-03T16:53:36Z,2026-03-13T17:42:35Z,Markdown,1808,14,2411,2308
iawia002,lux,30946,2018-02-24T11:29:03Z,2026-03-13T14:03:10Z,Go,304,86,1074,549
Lightning-AI,pytorch-lightning,30921,2019-03-31T00:45:57Z,2026-03-13T16:49:13Z,Python,9341,172,7502,6663
aristocratos,btop,30904,2021-05-06T18:40:21Z,2026-03-13T16:52:05Z,C++,372,54,908,483
seaweedfs,seaweedfs,30902,2014-07-14T16:41:37Z,2026-03-13T18:02:16Z,Go,3727,291,3556,2928
ascoders,weekly,30896,2017-03-20T06:10:04Z,2026-03-13T11:02:21Z,JavaScript,136,193,371,366
microsoft,calculator,30867,2019-01-28T17:55:49Z,2026-03-13T13:13:46Z,C++,913,0,1147,728
alibaba,p3c,30834,2017-06-23T06:15:51Z,2026-03-13T16:49:36Z,Kotlin,62,0,859,698
webtorrent,webtorrent,30828,2013-10-15T08:16:40Z,2026-03-13T14:23:25Z,JavaScript,970,229,1675,1610
blakeblackshear,frigate,30812,2019-01-26T13:52:38Z,2026-03-13T17:44:49Z,TypeScript,3770,76,5897,5814
blueimp,jQuery-File-Upload,30806,2010-12-01T15:35:32Z,2026-03-13T14:28:48Z,PHP,119,0,3305,3256
AMAI-GmbH,AI-Expert-Roadmap,30798,2020-10-24T21:49:40Z,2026-03-13T13:18:56Z,JavaScript,14,0,70,54
mantinedev,mantine,30783,2021-01-07T14:02:19Z,2026-03-13T16:19:48Z,TypeScript,1592,291,3460,3429
XIU2,TrackersListCollection,30771,2019-10-03T15:55:07Z,2026-03-13T17:21:42Z,,7,0,0,0
refined-github,refined-github,30694,2016-02-15T16:45:02Z,2026-03-13T17:55:09Z,TypeScript,3631,186,4710,4631
transloadit,uppy,30680,2015-11-16T12:32:33Z,2026-03-13T08:46:16Z,TypeScript,3277,392,2520,2354
dgtlmoon,changedetection.io,30650,2021-01-27T16:03:30Z,2026-03-13T14:13:44Z,Python,1061,204,1626,1335
ityouknow,spring-boot-examples,30646,2016-11-05T05:32:33Z,2026-03-13T12:45:12Z,Java,7,0,110,100
iperov,DeepFaceLive,30619,2020-12-15T12:19:22Z,2026-03-13T18:00:42Z,Python,13,35,144,143
s0md3v,roop,30550,2023-05-28T14:37:54Z,2026-03-13T16:23:53Z,Python,0,6,0,0
layui,layui,30541,2015-09-22T08:12:03Z,2026-03-13T16:17:58Z,JavaScript,674,173,1456,1399
VSCodium,vscodium,30497,2018-08-13T14:26:58Z,2026-03-13T16:01:03Z,Shell,633,267,1648,1516
songquanpeng,one-api,30475,2023-04-22T12:39:24Z,2026-03-13T17:27:47Z,JavaScript,287,55,1798,897
ValveSoftware,Proton,30408,2018-03-13T18:45:27Z,2026-03-13T17:13:00Z,C++,13,76,9048,4064
waydabber,BetterDisplay,30389,2021-10-24T08:32:56Z,2026-03-13T18:00:18Z,,2,122,2998,2852
VincentGarreau,particles.js,30359,2014-09-06T14:29:47Z,2026-03-13T02:37:23Z,JavaScript,21,6,413,107
sequelize,sequelize,30350,2010-07-22T07:11:11Z,2026-03-13T13:30:04Z,TypeScript,5023,490,10425,9526
pmndrs,react-three-fiber,30349,2019-02-25T14:31:51Z,2026-03-13T14:47:16Z,TypeScript,690,131,1172,1166
herrbischoff,awesome-macos-command-line,30347,2015-09-22T19:37:55Z,2026-03-13T17:50:09Z,,104,0,0,0
chinabugotech,hutool,30339,2014-04-13T07:23:51Z,2026-03-13T15:25:28Z,Java,515,157,3093,3091
trailofbits,algo,30334,2016-05-15T03:42:48Z,2026-03-13T09:35:50Z,Python,689,4,1650,1585
Binaryify,NeteaseCloudMusicApi,30294,2016-06-22T11:58:03Z,2026-03-13T16:37:25Z,,292,0,1336,1189
facebook,folly,30281,2012-06-01T20:49:04Z,2026-03-13T17:41:59Z,C++,13,281,1251,943
Fission-AI,OpenSpec,30275,2025-08-05T10:37:45Z,2026-03-13T17:56:52Z,TypeScript,323,34,321,78
jobbole,awesome-python-cn,30269,2015-11-03T09:50:50Z,2026-03-13T16:59:09Z,Makefile,51,0,35,18
tatsu-lab,stanford_alpaca,30267,2023-03-10T23:33:09Z,2026-03-13T09:32:17Z,Python,6,0,268,98
joshbuchea,HEAD,30246,2016-04-20T20:05:37Z,2026-03-13T17:27:57Z,,88,0,93,73
AvaloniaUI,Avalonia,30244,2013-12-05T20:13:21Z,2026-03-13T17:45:55Z,C#,5672,120,8340,6508
cfenollosa,os-tutorial,30243,2014-09-29T08:39:34Z,2026-03-13T14:20:17Z,C,11,0,182,106
openai,openai-python,30218,2020-10-25T23:23:54Z,2026-03-13T17:51:42Z,Python,1053,369,1213,1044
bytedance,deer-flow,30191,2025-05-07T02:50:19Z,2026-03-13T18:01:17Z,Python,441,0,536,323
cheeriojs,cheerio,30183,2011-10-09T04:23:20Z,2026-03-13T07:04:46Z,TypeScript,3136,62,1231,1210
telegramdesktop,tdesktop,30176,2014-05-02T12:36:31Z,2026-03-13T17:48:49Z,C++,1863,831,15805,14912
dragonflydb,dragonfly,30168,2021-12-11T10:00:42Z,2026-03-13T16:09:12Z,C++,4024,114,2142,1880
spf13,viper,30150,2014-04-02T14:33:33Z,2026-03-13T15:46:22Z,Go,520,35,931,923
grafana,k6,30121,2016-03-21T15:30:24Z,2026-03-13T16:21:48Z,Go,2465,85,2571,1840
jumpserver,jumpserver,30071,2014-07-04T03:54:59Z,2026-03-13T08:04:13Z,Python,7876,264,7653,7588
sunface,rust-course,30064,2018-08-07T05:01:21Z,2026-03-13T13:34:19Z,Rust,813,0,220,154
kingToolbox,WindTerm,30035,2019-10-09T19:56:09Z,2026-03-13T18:00:58Z,C,1,32,2921,587
vercel,turborepo,29989,2021-10-05T17:37:11Z,2026-03-13T15:19:08Z,Rust,7267,718,2061,1968
StevenBlack,hosts,29988,2012-04-12T20:22:50Z,2026-03-13T16:51:11Z,Python,507,834,2209,2076
xuxueli,xxl-job,29980,2015-11-28T12:59:34Z,2026-03-13T08:40:27Z,Java,124,42,3340,3198
encode,django-rest-framework,29933,2011-03-02T17:13:56Z,2026-03-12T21:49:58Z,Python,3110,21,3946,3907
AllThingsSmitty,css-protips,29925,2015-08-29T12:29:03Z,2026-03-13T17:21:28Z,,73,0,63,62
GoogleChrome,lighthouse,29916,2016-03-08T01:03:11Z,2026-03-13T14:00:39Z,JavaScript,5567,130,9261,8772
ageron,handson-ml2,29914,2019-01-08T03:49:07Z,2026-03-13T16:32:46Z,Jupyter Notebook,65,0,518,304
square,leakcanary,29908,2015-04-29T23:54:16Z,2026-03-13T08:25:12Z,Kotlin,933,43,1657,1514
google-research,tuning_playbook,29907,2023-01-18T23:32:32Z,2026-03-13T16:37:35Z,,14,0,45,34
zellij-org,zellij,29903,2020-09-01T14:04:28Z,2026-03-13T17:20:12Z,Rust,1406,65,2539,1201
iced-rs,iced,29807,2019-07-15T22:34:46Z,2026-03-13T16:59:51Z,Rust,1165,18,1310,965
qarmin,czkawka,29806,2020-09-01T17:37:29Z,2026-03-13T15:55:22Z,Rust,470,40,1121,696
nvim-lua,kickstart.nvim,29801,2022-06-24T03:11:24Z,2026-03-13T18:01:00Z,Lua,267,0,670,652
hashicorp,consul,29796,2013-11-04T22:15:27Z,2026-03-13T13:55:40Z,Go,14153,256,5582,4285
apolloconfig,apollo,29777,2016-03-04T10:24:23Z,2026-03-13T15:19:25Z,Java,1499,42,3400,3258
filamentphp,filament,29771,2020-03-19T00:19:18Z,2026-03-13T16:55:25Z,PHP,5817,827,3333,3312
